file_name,detected_text,confidence,center_coordinates,azimuth
GS__1557.JPG,ب,0.2472879335552456,"(1476, 1494)",312.84
GS__1557.JPG,,0.0,"(1316, 1512)",298.44
GS__1557.JPG,7,0.1143834147717512,"(1622, 2445)",325.98
GS__1557.JPG,٥٧,0.3514303468673398,"(1391, 1500)",305.19
GS__1557.JPG,٥,0.076688395123913,"(1236, 1517)",291.24
GS__1557.JPG,,0.0,"(2471, 2362)",42.39
GS__1558.JPG,,0.0,"(1624, 2430)",326.15999999999997
GS__1558.JPG,نتتآ,0.0293484628200531,"(1621, 1557)",325.89
GS__1558.JPG,,0.0,"(2432, 2356)",38.88
GS__1559.JPG,=,0.3760334030950254,"(2510, 2385)",45.9
GS__1560.JPG,١٢ ٩٣٢٨١,0.5654390970727485,"(1262, 1723)",293.58
GS__1560.JPG,-,0.424406411577948,"(2520, 2382)",46.800000000000004
GS__1561.JPG,٦٥٩١٥٦٢,0.4956972894441897,"(3206, 1498)",108.53999999999999
GS__1561.JPG,,0.0,"(1635, 2454)",327.15
GS__1561.JPG,,0.0,"(2484, 2365)",43.56
GS__1562.JPG,,0.0,"(1641, 2467)",327.69
GS__1562.JPG,,0.0,"(2463, 2375)",41.67
GS__1563.JPG,-7=7=2,0.010525384592366,"(4322, 1223)",208.98000000000002
GS__1563.JPG,7,0.2015147278348337,"(1631, 2456)",326.79
GS__1563.JPG,,0.0,"(2459, 2371)",41.31
GS__1564.JPG,٩٥٥٥٢,0.5057202607509751,"(3141, 1572)",102.69
GS__1564.JPG,,0.0,"(1748, 2542)",337.32
GS__1565.JPG,٦٤٩٢٩٢٥,0.1526340681474895,"(2801, 1401)",72.09
GS__1565.JPG,",",0.1582457635436753,"(1669, 2528)",330.21
GS__1566.JPG,سفلنم,0.004508156744866,"(2783, 1338)",70.47
GS__1566.JPG,;,0.0624897633214525,"(1651, 2495)",328.59000000000003
GS__1567.JPG,Tma,0.0840791199943221,"(2798, 1325)",71.82000000000001
GS__1567.JPG,م,0.0487022990159291,"(1642, 2479)",327.78
GS__1567.JPG,Dr,0.2230488446258627,"(3011, 2211)",90.99
GS__1569.JPG,تلشتذ -,0.0382979534128811,"(3771, 1525)",159.39
GS__1569.JPG,",",0.2591135882553885,"(1649, 2488)",328.41
GS__1570.JPG,;,0.1730098161462843,"(1674, 2526)",330.66
GS__1570.JPG,٩Iم٥,0.0305325873196125,"(2672, 1439)",60.480000000000004
GS__1573.JPG,٥,0.5569117083705919,"(4178, 882)",196.01999999999998
GS__1573.JPG,,0.0,"(1647, 2488)",328.23
GS__1573.JPG,99,0.0515183181278775,"(4431, 921)",218.79
GS__1573.JPG,4:PP447,0.0273178780001013,"(4254, 1125)",202.86
GS__1574.JPG,سالن زيبای,0.6189897288473573,"(3683, 1109)",151.47
GS__1574.JPG,٨٨,0.9520707564775304,"(3663, 1142)",149.67000000000002
GS__1574.JPG,٥٨٨٥ ٤٥ ٦ (-,0.0048479585937076,"(2772, 1399)",69.48
GS__1578.JPG,;,0.0498670870999973,"(1649, 2486)",328.41
GS__1579.JPG,٤Gf,0.0414901414586012,"(2864, 1343)",77.76
GS__1579.JPG,D~,0.2273191903211534,"(3014, 2212)",91.26
GS__1580.JPG,7,0.0489059564140967,"(1656, 2511)",329.04
GS__1581.JPG,٤CB٥,0.016352979466319,"(2810, 1325)",72.9
