file_name,detected_text,bbox,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1627,بوشا ٢٥ ٢١ ٠ ٠٩ 4٢٢,"745,1483,854,1536","799,1509",332.9375,59.520896888888885,36.33737680555556,
GS__1631,اٰٰ ار,"3272,1220,3347,1277","3309,1248",127.8125,59.521414694444445,36.33728461111112,['11-04-057-0024']
GS__1632,تتراطاذ راو1 بازاز ضزل لا  کاء عإارز پك 4 مه بت - اظنب ور,"1536,1371,1683,1486","1609,1428",384.5625,59.5215125,36.337265,['11-04-057-0020-002']
GS__1632,أفه ا ,"3675,1177,3919,1320","3797,1248",161.3125,59.5215125,36.337265,['11-04-070-0014']
GS__1635,ت,"3571,668,3628,706","3599,687",328.9375,59.52014061111111,36.33815611111111,['11-04-055-0028']
GS__1643, ٩5,"2081,1231,2135,1257","2108,1244",232.75,59.5192311,36.3383265,['11-04-055-0036']
GS__1644,رباریت پامچال ف ,"1259,1169,1768,1292","1513,1230",197.5625,59.5191255,36.338346694444446,
GS__1645,36099683|,"918,1328,1002,1358","960,1343",162.0,59.5189924,36.33837030555556,['11-04-062-0012']
GS__1648,بى ٤٤,"3841,1285,3921,1316","3881,1300",345.5625,59.5186609,36.3384305,
GS__1649,//1,"3688,1314,4020,1508","3854,1411",343.875,59.5185095,36.33845961111111,['11-04-063-0018']
GS__1651,,"3548,1280,3579,1401","3563,1340",325.6875,59.518205,36.33851219444445,['11-04-063-0017']
GS__1656,7,"1623,885,1670,905","1646,895",205.875,59.5172546,36.338683,['11-04-063-0003']
GS__1658,کروء -ا حعای اه0 ٤,"1060,894,1255,951","1157,922",172.3125,59.5170279,36.338716000000005,
GS__1671,ا؟أنللاي ,"1676,1297,1824,1357","1750,1327",210.375,59.51506111111111,36.339072,
GS__1672,پالالاي ؤز,"718,1401,824,1450","771,1425",149.1875,59.5149115,36.33909480555556,['11-04-065-0017']
GS__1674,ف!'نبظ,"1461,1393,1531,1435","1496,1414",194.5,59.514567,36.33914911111111,
GS__1676,م,"4206,561,4737,1131","4471,846",21.4375,59.51425280555556,36.339203000000005,['11-04-052-0036']
GS__1679,٢٦٠٤٥٩٩٤ جعد ز ادم,"1767,1263,1855,1306","1811,1284",214.1875,59.51380069444444,36.33927369444445,['11-04-052-0037-002']
GS__1679,بابا,"1880,1268,1963,1313","1921,1290",221.0625,59.51380069444444,36.33927369444445,['11-04-052-0001-002']
