file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1657,;,0.3011305999950799,"(1640, 2457)",327.6,59.5171527,36.33869861111111,['11-04-135-0007-002']
GS__1657,EY٥٥ط,0.1043548700509161,"(861, 1912)",257.49,59.5171527,36.33869861111111,['11-04-063-0001']
GS__1658,کرو ساخماتی,0.1857227574453985,"(1207, 912)",288.63,59.5170279,36.338716000000005,['11-04-063-0035']
GS__1659,ط٢٤٧,0.8675630688667297,"(807, 1951)",252.63,59.5169061,36.33873869444445,['11-04-064-0022-001']
GS__1661,R,0.9297845538297942,"(4139, 1458)",192.51,59.5166668,36.338779888888894,['11-04-064-0041-002']
GS__1661,^,0.822811958682351,"(4130, 1505)",191.7,59.5166668,36.338779888888894,['11-04-064-0041-002']
GS__1661,ط ٤٤٧,0.683596013026475,"(312, 1876)",208.08,59.5166668,36.338779888888894,['11-04-064-0032-001']
GS__1661,7,0.136082263484405,"(1649, 2481)",328.41,59.5166668,36.338779888888894,['11-04-135-0002-001']
GS__1661,=,0.469235945550853,"(2503, 2382)",45.27,59.5166668,36.338779888888894,['11-04-049-0001']
GS__1663,=,0.2968695026116599,"(1649, 2504)",328.41,59.516390694444446,36.338824888888894,['11-04-135-0002-001']
GS__1665,7,0.2500461361234016,"(1651, 2474)",328.59000000000003,59.51593030555556,36.338907,['11-04-080-0014-001']
GS__1667,7,0.3180234704396447,"(3632, 2242)",146.88,59.51559311111111,36.33897319444445,['11-04-052-0013']
GS__1668,٩١٥٢٢ ٥ ٤٩؛,0.1637799019373342,"(2978, 1563)",88.02,59.515450305555554,36.33899688888889,['11-04-053-0001']
GS__1670,،٦٩٢٩٨٥٤٦,0.1401108237669144,"(2936, 1532)",84.24000000000001,59.51519411111112,36.33905130555556,['11-04-051-0019-002']
GS__1670,7,0.2926175523757734,"(1635, 2465)",327.15,59.51519411111112,36.33905130555556,['11-04-134-0001-003']
GS__1672,باللاي ؤز,0.2197418224489218,"(771, 1425)",249.39,59.5149115,36.33909480555556,['11-04-085-0011-002']
GS__1674,:/:':|:,0.3873787249300568,"(1496, 1412)",314.64,59.514567,36.33914911111111,['11-04-067-0007']
GS__1674,=,0.2392145335845761,"(2499, 2378)",44.91,59.514567,36.33914911111111,['11-04-039-0001']
GS__1676,٦,0.1118081114862059,"(4450, 893)",220.50000000000003,59.51425280555556,36.339203000000005,['11-04-065-0001-001']
GS__1678,7,0.2483719654877711,"(1638, 2470)",327.42,59.51395011111112,36.339250694444445,['11-04-081-0017']
GS__1678,=,0.2956000756078083,"(2496, 2375)",44.64,59.51395011111112,36.339250694444445,['11-04-051-0016']
GS__1679,٢٦٠٤٥٦٠٤,0.3851795375182752,"(1811, 1273)",342.99,59.51380069444444,36.33927369444445,['11-04-141-0023-002']
GS__1679,حعدزادد,0.729920590754552,"(1811, 1300)",342.99,59.51380069444444,36.33927369444445,['11-04-141-0023-002']
GS__1679,بابا,0.603625960352668,"(1921, 1293)",352.89,59.51380069444444,36.33927369444445,['11-04-147-0007']
GS__1679,هاییرعلی بابا,0.5060540848983672,"(1714, 1412)",334.26,59.51380069444444,36.33927369444445,['11-04-080-0014-001']
GS__1679,خ,0.1881400480372699,"(2552, 2387)",49.68000000000001,59.51380069444444,36.33927369444445,['11-04-052-0001-002']
GS__1680,شاچد علیبابا,0.1887932917860957,"(1139, 1360)",282.51,59.513691305555554,36.33929861111111,['11-04-065-0004']
GS__1680,مایپرعلی بابا,0.7144402889128139,"(697, 1509)",242.73,59.513691305555554,36.33929861111111,['11-04-020-0017']
GS__1680,٢٢٠٤٥٩٩٤,0.4037269349192275,"(669, 1404)",240.21,59.513691305555554,36.33929861111111,['11-04-020-0018']
GS__1680,مش,0.1713704344594726,"(1930, 1558)",353.7,59.513691305555554,36.33929861111111,['11-04-151-0001']
GS__1681,E,0.1523484019366527,"(1651, 2418)",328.59000000000003,59.51365111111111,36.339380000000006,['11-04-081-0011-001']
GS__1682,0ار5,0.2915060818195343,"(3600, 1185)",144.0,59.51368030555555,36.33951619444445,['11-04-033-0013']
GS__1682,جلوبنىى,0.3163147549402618,"(4592, 1266)",233.28,59.51368030555555,36.33951619444445,['11-04-032-0021-003']
GS__1682,صتحع,0.1122138872742652,"(4547, 1294)",229.23,59.51368030555555,36.33951619444445,['11-04-032-0021-003']
GS__1682,٥١٧ ٤,0.2475759938551991,"(1788, 1395)",340.92,59.51368030555555,36.33951619444445,['11-04-141-0029']
GS__1682,ر,0.3093902973923832,"(1651, 2533)",328.59000000000003,59.51368030555555,36.33951619444445,['11-04-081-0011-001']
GS__1682,افی,0.2713565282276479,"(4481, 1258)",223.29,59.51368030555555,36.33951619444445,['11-04-032-0020']
GS__1683,Seren ؟,0.6936240721305874,"(4311, 1318)",207.99,59.51372238888889,36.33965588888889,['11-04-032-0029-002']
GS__1683,م06@(,0.1928149337680065,"(4567, 1161)",231.03000000000003,59.51372238888889,36.33965588888889,['11-04-032-0021-003']
GS__1683,0ارکق,0.3411968117574831,"(4813, 1224)",253.17,59.51372238888889,36.33965588888889,
GS__1683,قنظیوم,0.2857953154557049,"(3913, 1260)",172.17000000000002,59.51372238888889,36.33965588888889,['11-04-033-0013']
GS__1683,0915E0062E,0.1945409497467986,"(4690, 1245)",242.1,59.51372238888889,36.33965588888889,['11-04-028-0021-001']
GS__1683,/من کارت ,0.3811117146861514,"(4621, 1274)",235.89,59.51372238888889,36.33965588888889,['11-04-032-0021-003']
GS__1683, کامل /,0.5677242631189875,"(4677, 1283)",240.93,59.51372238888889,36.33965588888889,['11-04-028-0021-001']
GS__1683,عابربائگ / قهوه اسپرسو پروتئینی,0.3906953567931844,"(4789, 1308)",251.01,59.51372238888889,36.33965588888889,
GS__1683,Mبe,0.3264566275170349,"(4402, 1330)",216.18,59.51372238888889,36.33965588888889,['11-04-032-0020']
GS__1684,الو سرویس وض,0.5638941107776221,"(3817, 1233)",163.53,59.51376338888889,36.33979530555556,['11-04-033-0018-001']
GS__1684,گلاسمی,0.3995748068122772,"(4101, 1207)",189.09,59.51376338888889,36.33979530555556,['11-04-033-0014-002']
GS__1684,روغن اتومنيل داى ابرانى وخارج,0.3324350320705298,"(3784, 1266)",160.56,59.51376338888889,36.33979530555556,
GS__1684,٠٥٠٢ ٥,0.4025090986930515,"(3748, 1293)",157.32,59.51376338888889,36.33979530555556,['11-04-036-0005']
GS__1684,اتومان,0.6747288395953318,"(3829, 1289)",164.61,59.51376338888889,36.33979530555556,['11-04-033-0018-001']
GS__1684,گیربک,0.4678686670050943,"(3884, 1287)",169.56,59.51376338888889,36.33979530555556,['11-04-033-0013']
GS__1685,اتو س رویس وج,0.1043362691421531,"(4399, 1243)",215.91,59.51383669444444,36.33990438888889,['11-04-032-0029-002']
GS__1685,٤ ٤٦٤٦ ٥٢٦ ٠٩٧٥,0.5959857545508038,"(2909, 1275)",81.81,59.51383669444444,36.33990438888889,
GS__1685,روغن اتومیسل شای ثراتی وخارحی,0.124858055291722,"(4380, 1283)",214.2,59.51383669444444,36.33990438888889,['11-04-032-0029-002']
GS__1685,7,0.5704157628277109,"(1608, 2416)",324.72,59.51383669444444,36.33990438888889,['11-04-081-0011-001']
GS__1686,هتین,0.7425640821456909,"(3687, 1217)",151.83,59.51396288888889,36.3398915,['11-04-036-0010-002']
GS__1686,لمق,0.2933480546536201,"(1297, 1267)",296.73,59.51396288888889,36.3398915,['11-04-052-0009']
