file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude
GS__1684,اتومان,0.6747288395953318,"(3829, 1289)",164.61,59.51376338888889,36.339795305555555
GS__1684,٠_ ٥٥٤,0.0665090700181932,"(4151, 1361)",193.59,59.51376338888889,36.339795305555555
GS__1684,T90إ,0.0080446619540452,"(5049, 1341)",274.41,59.51376338888889,36.339795305555555
GS__1684,ذربر قجم غرتجادی,0.0113150013011819,"(5083, 1386)",277.47,59.51376338888889,36.339795305555555
GS__1684,گیربک,0.4678686670050943,"(3884, 1287)",169.56,59.51376338888889,36.339795305555555
GS__1685,كث لذدذئو دادادولی,0.0069429296770906,"(2880, 1251)",79.2,59.51383669444444,36.33990438888889
GS__1685,تربكی آءعان,0.0723552232599502,"(4207, 1255)",198.63,59.51383669444444,36.33990438888889
GS__1685,اتو س رویس وج,0.1043362691421531,"(4399, 1243)",215.91,59.51383669444444,36.33990438888889
GS__1685,٤ ٤٦٤٦ ٥٢٦ ٠٩٧٥,0.5959857545508038,"(2909, 1275)",81.81,59.51383669444444,36.33990438888889
GS__1685,روغن اتومیسل شای ثراتی وخارحی,0.124858055291722,"(4380, 1283)",214.2,59.51383669444444,36.33990438888889
GS__1685,تَفرَّها,0.0020446741154727,"(4659, 1316)",239.31,59.51383669444444,36.33990438888889
GS__1685,م,0.0090536064094246,"(4380, 1413)",214.2,59.51383669444444,36.33990438888889
GS__1685,7,0.5704157628277109,"(1608, 2416)",324.72,59.51383669444444,36.33990438888889
GS__1685,سالنلا,0.0571334333325548,"(4636, 1267)",237.24,59.51383669444444,36.33990438888889
GS__1686,هتین,0.7425640821456909,"(3687, 1217)",151.83,59.51396288888889,36.3398915
GS__1686,,0.0,"(1694, 2550)",332.46,59.51396288888889,36.3398915
GS__1686,لیس اءمان,0.0932449490534905,"(4204, 1216)",198.36,59.51396288888889,36.3398915
GS__1686,لمق,0.2933480546536201,"(1297, 1267)",296.73,59.51396288888889,36.3398915
GS__1686,ثنن,0.0642495669341424,"(1301, 1348)",297.09000000000003,59.51396288888889,36.3398915
GS__1686,ذتا آ ٨اء,0.0147061668681983,"(1205, 1374)",288.45,59.51396288888889,36.3398915
GS__1686,,0.0,"(2614, 2394)",55.26,59.51396288888889,36.3398915
GS__1687,٥0,0.2698597880868861,"(1804, 1460)",342.36,59.514070305555556,36.3398705
GS__1687,IقL,0.2598427099806473,"(4134, 1666)",192.06,59.514070305555556,36.3398705
GS__1687,=,0.0602433495221268,"(2533, 2373)",47.970000000000006,59.514070305555556,36.3398705
GS__1688,,0.0,"(1646, 2515)",328.14,59.51421061111111,36.33984369444445
GS__1688,,0.0,"(2524, 2399)",47.16,59.51421061111111,36.33984369444445
GS__1689,7,0.2011290265983554,"(1644, 2479)",327.96,59.51433611111111,36.339823611111115
GS__1689,/,0.4646364606485385,"(3710, 2228)",153.9,59.51433611111111,36.339823611111115
GS__1690,٥٢7ب٠١٦,0.0179397002447356,"(2119, 1503)",10.71,59.51449111111111,36.33979569444445
GS__1690,;,0.0222432375136492,"(1640, 2486)",327.6,59.51449111111111,36.33979569444445
GS__1690,0413,0.1963882604845215,"(3538, 1006)",138.42000000000002,59.51449111111111,36.33979569444445
GS__1690,,0.0,"(2532, 2376)",47.88,59.51449111111111,36.33979569444445
GS__1691,,0.0,"(2526, 2386)",47.34,59.514617305555554,36.33976880555556
GS__1692,کررجا |,0.0772140817565511,"(3507, 1343)",135.63,59.51474688888889,36.3397445
GS__1692,٨٨١١,0.114661194384098,"(3510, 1365)",135.9,59.51474688888889,36.3397445
GS__1692,,0.0,"(2463, 2371)",41.67,59.51474688888889,36.3397445
GS__1693,؟٤؟٦٨٥٢٩,0.3293541612166569,"(2321, 1539)",28.89,59.514907388888886,36.33971419444445
GS__1693,7,0.6297188821518809,"(1633, 2499)",326.97,59.514907388888886,36.33971419444445
GS__1693,,0.0,"(2570, 2372)",51.3,59.514907388888886,36.33971419444445
GS__1694,؟0,0.0726756508662375,"(1147, 1399)",283.23,59.515062,36.33968711111111
GS__1694,گروه ساختمانی,0.922318430857252,"(4688, 1426)",241.92,59.515062,36.33968711111111
GS__1694,الم,0.121383212506771,"(1145, 1489)",283.05,59.515062,36.33968711111111
GS__1694,20؟4,0.0059123979881405,"(1262, 1521)",293.58,59.515062,36.33968711111111
GS__1694,7,0.0763542139936568,"(1633, 2454)",326.97,59.515062,36.33968711111111
GS__1694,??,0.132652237897011,"(1261, 1387)",293.49,59.515062,36.33968711111111
GS__1694,42575,0.0296744652890652,"(1153, 1528)",283.77,59.515062,36.33968711111111
GS__1694,7,0.0425040628511261,"(2446, 2374)",40.14,59.515062,36.33968711111111
GS__1695,,0.0,"(5341, 1239)",300.69,59.51520580555555,36.33966711111111
GS__1695,5^,0.0784306481564334,"(2992, 2213)",89.28,59.51520580555555,36.33966711111111
GS__1696,أر7,0.0021793081113853,"(1314, 1329)",298.26,59.5153485,36.3396465
GS__1696,تسم,0.1947829565983463,"(2974, 1434)",87.66,59.5153485,36.3396465
GS__1696,٣٤ ٦٢٤٥٧٢,0.1345881982667024,"(5609, 1795)",324.81,59.5153485,36.3396465
GS__1696,7,0.3836182168252868,"(1642, 2483)",327.78,59.5153485,36.3396465
GS__1696,77,0.2768610455767578,"(3640, 2222)",147.6,59.5153485,36.3396465
GS__1696,=,0.2396987076926713,"(2495, 2385)",44.55,59.5153485,36.3396465
GS__1697,٨ ٥ ؟٣ و،,0.0010774941748742,"(2893, 1498)",80.37,59.51551388888889,36.339615611111114
GS__1697,HUقULII,0.0529361735792349,"(5534, 1685)",318.06,59.51551388888889,36.339615611111114
